,Input Sentence,Tokenizer,POS,Great Filter,POW,ACH,AFF,Unnamed
0,"The ship's captain, Capt.
","['The', 'ship', ""'s"", 'captain', ',', 'Capt', '.']","['DT', 'NN', 'POS', 'NN', ',', 'NNP', '.']",Pass,no,no,no,
1,"J. D. Riley, is replying hotly to some of the accusations of a Mr. Joseph Morse, chief supervisor for the Trans-Atlantic Steamship Company.
","['J.', 'D.', 'Riley', ',', 'is', 'replying', 'hotly', 'to', 'some', 'of', 'the', 'accusations', 'of', 'a', 'Mr.', 'Joseph', 'Morse', ',', 'chief', 'supervisor', 'for', 'the', 'Trans-Atlantic', 'Steamship', 'Company', '.']","['NNP', 'NNP', 'NNP', ',', 'VBZ', 'VBG', 'RB', 'TO', 'DT', 'IN', 'DT', 'NNS', 'IN', 'DT', 'NNP', 'NNP', 'NNP', ',', 'NN', 'NN', 'IN', 'DT', 'JJ', 'NNP', 'NNP', '.']",Pass,yes,no,no,
2,"There have been a great number of petty complaints about the service on the ship.
","['There', 'have', 'been', 'a', 'great', 'number', 'of', 'petty', 'complaints', 'about', 'the', 'service', 'on', 'the', 'ship', '.']","['EX', 'VBP', 'VBN', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NNS', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', '.']",Pass,no,no,no,
3,"Of course, they were logged by wealthy, eccentric passengers who were not easily pleased.
","['Of', 'course', ',', 'they', 'were', 'logged', 'by', 'wealthy', ',', 'eccentric', 'passengers', 'who', 'were', 'not', 'easily', 'pleased', '.']","['IN', 'NN', ',', 'PRP', 'VBD', 'VBN', 'IN', 'NN', ',', 'JJ', 'NNS', 'WP', 'VBD', 'RB', 'RB', 'JJ', '.']",Removed,no,no,no,
4,"The captain had just about had enough of the criticism directed at him by the company, and has told the  supervisor so.
","['The', 'captain', 'had', 'just', 'about', 'had', 'enough', 'of', 'the', 'criticism', 'directed', 'at', 'him', 'by', 'the', 'company', ',', 'and', 'has', 'told', 'the', 'supervisor', 'so', '.']","['DT', 'NN', 'VBD', 'RB', 'RB', 'VBD', 'NN', 'IN', 'DT', 'NN', 'VBN', 'IN', 'PRP', 'IN', 'DT', 'NN', ',', 'CC', 'VBZ', 'VBN', 'DT', 'NN', 'RB', '.']",Pass,yes,no,no,
5,"The captain will be reprimanded for his outburst by being demoted to first mate.
","['The', 'captain', 'will', 'be', 'reprimanded', 'for', 'his', 'outburst', 'by', 'being', 'demoted', 'to', 'first', 'mate', '.']","['DT', 'NN', 'MD', 'VB', 'VBN', 'IN', 'PRP$', 'NN', 'IN', 'VBG', 'VBN', 'TO', 'JJ', 'NN', '.']",Pass,yes,no,no,
6,"A smuggler is being apprehended.
","['A', 'smuggler', 'is', 'being', 'apprehended', '.']","['DT', 'NN', 'VBZ', 'VBG', 'VBN', '.']",Pass,yes,no,no,
7,"The people are the smuggler, himself, and the captain of the ship, who has decided to handle the episode personally.
","['The', 'people', 'are', 'the', 'smuggler', ',', 'himself', ',', 'and', 'the', 'captain', 'of', 'the', 'ship', ',', 'who', 'has', 'decided', 'to', 'handle', 'the', 'episode', 'personally', '.']","['DT', 'NNS', 'VBP', 'DT', 'NN', ',', 'PRP', ',', 'CC', 'DT', 'NN', 'IN', 'DT', 'NN', ',', 'WP', 'VBZ', 'VBN', 'TO', 'VB', 'DT', 'NN', 'RB', '.']",Pass,no,no,no,
8,"An international smuggler has tried to sneak a fortune in diamonds on to a ship from Paris to New York.
","['An', 'international', 'smuggler', 'has', 'tried', 'to', 'sneak', 'a', 'fortune', 'in', 'diamonds', 'on', 'to', 'a', 'ship', 'from', 'Paris', 'to', 'New', 'York', '.']","['DT', 'JJ', 'NN', 'VBZ', 'VBN', 'TO', 'VB', 'DT', 'NN', 'IN', 'NNS', 'IN', 'TO', 'DT', 'NN', 'IN', 'NNP', 'TO', 'NNP', 'NNP', '.']",Pass,no,no,no,
9,"Unfortunately for him, a steward overheard his bragging while drunk at the bar, and an investigation turned up the diamonds.
","['Unfortunately', 'for', 'him', ',', 'a', 'steward', 'overheard', 'his', 'bragging', 'while', 'drunk', 'at', 'the', 'bar', ',', 'and', 'an', 'investigation', 'turned', 'up', 'the', 'diamonds', '.']","['RB', 'IN', 'PRP', ',', 'DT', 'NN', 'IN', 'PRP$', 'VBG', 'IN', 'NN', 'IN', 'DT', 'NN', ',', 'CC', 'DT', 'NN', 'VBD', 'RP', 'DT', 'NNS', '.']",Pass,yes,no,no,
