,VB,VBG,VBN,VBZ,VBD,NN,NNP,RB,RBR,RBS,JJ,JJR,JJS,DT,PRP,IN,MD,NNS,WRB,CC,WP,PDT
0,be,replying,been,is,were,ship,Capt,hotly,more,most,Trans-Atlantic,longer,calmest,The,they,of,will,accusations,When,and,who,such
1,handle,being,logged,has,had,captain,J.,not,less,,great,shorter,largest,some,him,for,would,complaints,How,but,What,all
2,sneak,bragging,directed,protests,turned,chief,D.,easily,better,,petty,higher,best,the,his,about,wo,passengers,how,But,what,
3,have,telling,told,wants,encountered,supervisor,Riley,just,earlier,,eccentric,lower,closest,a,himself,on,can,people,Why,or,whom,
4,sail,explaining,reprimanded,removes,straight,number,Mr.,about,harder,,pleased,more,highest,A,he,Of,should,diamonds,Where,And,,
5,gain,going,demoted,says,met,service,Joseph,so,,,first,younger,lest,An,them,by,ca,procedures,where,Yet,,
6,get,trying,apprehended,thinks,began,course,Morse,personally,,,international,worse,least,an,He,at,could,ships,when,burst,,
7,like,arguing,decided,does,struck,wealthy,Steamship,Unfortunately,,,sure,older,most,no,They,in,might,factors,why,Or,,
8,scoop,greeting,tried,follows,tied,enough,Company,too,,,safe,less,unrest,Both,their,from,'d,reaches,,neither,,
9,allow,arriving,thrown,'s,told,criticism,Paris,legally,,,famous,better,newest,all,you,overheard,may,visitors,,nor,,
10,accept,guiding,refused,drunk,was,company,New,Therefore,,,European,greater,youngest,This,I,while,must,papers,,&,,
11,guide,discussing,docked,takes,sat,outburst,York,finally,,,hesitant,earlier,oldest,each,His,So,Could,days,,,,
12,find,coming,admitted,listens,caught,mate,Captain,slightly,,,monetary,easier,nest,that,her,with,shall,waters,,,,
13,come,starving,instructed,feels,got,smuggler,Jones,as,,,other,wonder,,Those,it,before,'ll,acquaintances,,,,
14,retire,talking,boarded,gets,went,episode,U.S.S,soon,,,second,harder,,No,we,since,Will,voyages,,,,
15,know,double-parking,anguished,speaks,stayed,fortune,United,suddenly,,,late,happier,,this,It,into,,tourists,,,,
16,continue,smiling,tired,persists,made,steward,W.,even,,,due,,,these,We,because,,observers,,,,
17,sink,sitting,born,sits,felt,drunk,Matthews,n't,,,severe,,,another,my,as,,plans,,,,
18,make,overwhelming,bawled,runs,decided,bar,England,formally,,,large,,,These,your,On,,squeals,,,,
19,pay,remembering,asked,pulls,thought,investigation,America,probably,,,old,,,any,You,out,,buddies,,,,
20,care,watching,run,borrows,talked,book,Europe,early,,,lively,,,every,me,above,,customs,,,,
21,escape,killing,disowned,appears,did,innocence,Admiral,casually,,,past,,,both,our,until,,bananas,,,,
22,leave,plotting,cooked,looks,assumed,businessman,Scrowlsy,obviously,,,common,,,neither,she,that,,reasons,,,,
23,take,getting,allowed,regrets,reminisced,confidence,Gafoon,only,,,happy,,,Neither,us,except,,promenades,,,,
24,eat,easygoing,described,tells,brought,past,Smugs,always,,,close,,,Each,She,below,,years,,,,
25,do,skating,forced,visits,faded,safety,McKingle,now,,,coming,,,All,Her,during,,couples,,,,
26,help,Being,received,praises,walked,trip,Bones,far,,,sporadic,,,those,Their,back,,lovers,,,,
27,bring,thinking,moved,sees,wished,pianist,McKid,Only,,,unforeseen,,,That,itself,like,,fields,,,,
28,go,realizing,stopped,changes,set,passenger,Jack,endlessly,,,personal,,,,its,between,,piers,,,,
29,see,Hearing,known,desires,missed,interview,Arkansas,never,,,accidental,,,,themselves,without,,sights,,,,
30,feel,counting,seen,wishes,joined,reporter,No,very,,,capitalist,,,,herself,along,,friends,,,,
31,touch,majoring,found,admires,suspected,rival,Irma,immediately,,,good,,,,My,after,,times,,,,
32,keep,pretending,bundled,despises,placed,one,U.S.,Little,,,foolish,,,,'s,through,,things,,,,
33,suspect,tailing,concerned,divulges,bacteria,board,Charlie,well,,,full,,,,Our,over,,problems,,,,
34,think,exploring,left,clam,grew,bribe,Banana,Well,,,angry,,,,myself,down,,hers,,,,
35,spend,passing,frozen,leaves,became,man,Shop,ever,,,available,,,,,under,,questions,,,,
36,freeze,transferring,obligated,indicates,closed,uniform,Sunday,Just,,,young,,,,,Along,,boats,,,,
37,want,doing,reacquainted,works,died,boat,Seine,automatically,,,winter,,,,,As,,memories,,,,
38,run,isolating,relaxed,processes,said,pilot,John,back,,,wooden,,,,,Since,,walks,,,,
39,bear,repeating,pushed,faces,defected,harbor,Sam,away,,,immobile,,,,,so,,jumps,,,,
40,hear,working,detached,smiles,wanted,look,Martha,quickly,,,deserted,,,,,than,,banks,,,,
41,reappear,hoping,involved,asks,graduated,face,Richard,no,,,frozen,,,,,In,,fragments,,,,
42,look,looking,straightened,finishes,remained,hurricane,Cambridge,longer,,,empty,,,,,among,,bodies,,,,
43,jail,ravaging,happened,learns,breathed,sea,Mary,quite,,,dead,,,,,toward,,youths,,,,
44,carry,growing,caught,measures,resulted,sleep,Charles,really,,,last,,,,,although,,places,,,,
45,become,dying,sent,drops,worked,luxury,River,down,,,long,,,,,towards,,lives,,,,
46,join,standing,framed,depicts,returned,vessel,Mass,alone,,,general,,,,,against,,activities,,,,
47,love,magnifying,worried,makes,cherished,dock,Cuthbert,However,,,deep,,,,,By,,women,,,,
48,explain,conducting,Worried,calls,tossed,chance,Aldonza,once,,,psychological,,,,,aboard,,persons,,,,
49,lay,fulfilling,gone,falls,helped,conversation,Egyptology,there,,,next,,,,,upon,,results,,,,
50,pool,leaving,Engaged,goes,assisted,friendship,Hebrew,together,,,psychopathic,,,,,across,,scientists,,,,
51,use,waitressing,done,refuses,cared,experience,Coop,quietly,,,wrong,,,,,With,,feminists,,,,
52,develop,studying,talented,seems,hoped,behavior,Wursthaus,again,,,cheerful,,,,,though,,methods,,,,
53,offer,raising,come,occurs,chose,crowd,Brattle,Finally,,,glad,,,,,beneath,,resources,,,,
54,virus,performing,infected,pops,concerned,companion,Theatre,originally,,,snow,,,,,around,,answers,,,,
55,bury,teaching,baffled,puts,arrived,voyage,Boston,then,,,odd,,,,,if,,lists,,,,
56,poison,carrying,wiped,knows,consented,close,Mae,Actually,,,many,,,,,Within,,doctors,,,,
57,cause,questioning,conquered,enjoys,left,calamity,West,near,,,distant,,,,,behind,,masses,,,,
58,rise,bringing,educated,crashes,searched,bodyguard,Gov,much,,,murky,,,,,opposite,,Families,,,,
59,ask,boarding,buried,cocks,laughed,night,Smith,merely,,,enormous,,,,,off,,parents,,,,
60,grad,seeing,wanted,shakes,forgot,plot,FBI,right,,,polluted,,,,,If,,children,,,,
61,live,departing,married,watches,offered,capitalist,American,Thus,,,upset,,,,,beyond,,Doctors,,,,
62,receive,insisting,accepted,comes,smiled,regime,Communist,also,,,cool,,,,,admit,,laboratories,,,,
63,assist,asking,held,becomes,exchanged,flagship,Party,eventually,,,happy-go-lucky,,,,,Unless,,hands,,,,
